Muestra,Sigma,Beta,Lambda,Iteraciones,CritParada,CotaError,BitsMantisa,Tiempo
data/X4.txt,4.71484,99.1875,0.0108871,7,Relativo,0.01,10,320
data/X4.txt,4.70703,93.8125,0.0114517,4,Relativo,0.1,10,160
data/X5.txt,2.01433,2.52346,2.98095,17,Absoluto,0.001,51,170
data/X5.txt,2.01952,2.52875,2.96941,14,Absoluto,0.01,51,130
data/X5.txt,1.94101,2.4502,3.14841,10,Absoluto,0.1,51,80
data/X5.txt,2.01508,2.52422,2.9793,16,Relativo,0.001,51,140
data/X5.txt,2.01359,2.52271,2.98261,12,Relativo,0.01,51,100
data/X5.txt,1.83995,2.35352,3.39311,9,Relativo,0.1,51,80
data/X5.txt,2.01434,2.52346,2.98093,17,Absoluto,0.001,30,1200
data/X5.txt,2.01952,2.52875,2.96939,14,Absoluto,0.01,30,950
data/X5.txt,1.94101,2.4502,3.14839,10,Absoluto,0.1,30,660
data/X5.txt,2.01508,2.52422,2.97928,16,Relativo,0.001,30,1150
data/X5.txt,2.0136,2.52271,2.98258,12,Relativo,0.01,30,860
data/X5.txt,1.83996,2.35352,3.39309,9,Relativo,0.1,30,600
data/X5.txt,5.27734,99.9375,0.00780487,100,Absoluto,0.001,10,13210
data/X5.txt,5.27734,99.9375,0.00780487,100,Absoluto,0.01,10,13130
data/X5.txt,5.27734,99.9375,0.00780487,11,Absoluto,0.1,10,1310
data/X5.txt,5.27734,99.9375,0.00780487,11,Relativo,0.001,10,1310
data/X5.txt,5.27734,99.1875,0.00785065,7,Relativo,0.01,10,790
data/X5.txt,5.26562,93.8125,0.00830841,4,Relativo,0.1,10,400
data/X6.txt,3.10579,5.37098,1.76455,17,Absoluto,0.001,51,160
data/X6.txt,3.10516,5.36871,1.76586,14,Absoluto,0.01,51,130
data/X6.txt,3.10007,5.35059,1.77645,10,Absoluto,0.1,51,90
data/X6.txt,3.106,5.37173,1.76411,15,Relativo,0.001,51,140
data/X6.txt,3.11355,5.39893,1.74844,11,Relativo,0.01,51,100
data/X6.txt,3.07235,5.25391,1.8347,8,Relativo,0.1,51,60
data/X6.txt,3.10621,5.37249,1.76365,17,Absoluto,0.001,30,1180
data/X6.txt,3.10516,5.36871,1.76585,14,Absoluto,0.01,30,940
data/X6.txt,3.10008,5.35059,1.77643,10,Absoluto,0.1,30,660
