Muestra,Sigma,Beta,Lambda,Iteraciones,CritParada,CotaError,BitsMantisa,Tiempo
data/X5.txt,2.01478,2.52392,2.97995,6,Absoluto,0.001,51,110
data/X5.txt,2.01481,2.52395,2.97989,5,Absoluto,0.01,51,90
data/X5.txt,2.0203,2.52954,2.96769,4,Absoluto,0.1,51,70
data/X5.txt,2.01478,2.52392,2.97995,6,Relativo,0.001,51,100
data/X5.txt,2.01481,2.52395,2.97989,5,Relativo,0.01,51,90
data/X5.txt,2.0203,2.52954,2.96769,4,Relativo,0.1,51,70
data/X5.txt,2.09211,2.59868,2.80194,7,Absoluto,0.001,20,1130
data/X5.txt,2.09329,2.60005,2.79964,5,Absoluto,0.01,20,790
data/X5.txt,2.10228,2.60959,2.78072,4,Absoluto,0.1,20,620
data/X5.txt,2.09208,2.59871,2.80211,6,Relativo,0.001,20,930
data/X5.txt,2.09329,2.60005,2.79964,5,Relativo,0.01,20,790
data/X5.txt,2.10228,2.60959,2.78072,4,Relativo,0.1,20,640
data/X5.txt,3.04218,3.8269,1.1843,16,Absoluto,0.001,15,2830
data/X5.txt,3.03516,3.81299,1.19241,6,Absoluto,0.01,15,1050
data/X5.txt,3.02148,3.78741,1.20883,3,Absoluto,0.1,15,530
data/X5.txt,3.04034,3.82385,1.18655,12,Relativo,0.001,15,2190
data/X5.txt,3.03394,3.815,1.19476,4,Relativo,0.01,15,820
data/X5.txt,2.99347,3.73315,1.24133,2,Relativo,0.1,15,410
