Muestra,Sigma,Beta,Lambda,Iteraciones,CritParada,CotaError,BitsMantisa,Tiempo
data/X7.txt,0.5089,3.14584,0.966818,17,Absoluto,0.001,51,70
data/X7.txt,0.508821,3.14508,0.967198,14,Absoluto,0.01,51,50
data/X7.txt,0.516852,3.22363,0.928996,10,Absoluto,0.1,51,30
data/X7.txt,0.509137,3.1481,0.96568,15,Relativo,0.001,51,50
data/X7.txt,0.509452,3.15112,0.964167,12,Relativo,0.01,51,40
data/X7.txt,0.506913,3.12695,0.976387,9,Relativo,0.1,51,30
data/X7.txt,0.5089,3.14584,0.966819,17,Absoluto,0.001,30,470
data/X7.txt,0.508821,3.14508,0.967199,14,Absoluto,0.01,30,380
data/X7.txt,0.516852,3.22363,0.928996,10,Absoluto,0.1,30,260
data/X7.txt,0.509137,3.1481,0.965681,15,Relativo,0.001,30,410
data/X7.txt,0.509452,3.15112,0.964168,12,Relativo,0.01,30,320
data/X7.txt,0.506913,3.12695,0.976388,9,Relativo,0.1,30,220
data/X7.txt,0.959961,99.9375,0.0167542,20,Absoluto,0.001,10,1050
data/X7.txt,0.959961,99.9375,0.0167542,20,Absoluto,0.01,10,1070
data/X7.txt,0.959961,99.9375,0.0167542,11,Absoluto,0.1,10,520
data/X7.txt,0.959961,99.9375,0.0167542,11,Relativo,0.001,10,520
data/X7.txt,0.959961,99.1875,0.0168762,7,Relativo,0.01,10,310
data/X7.txt,0.95752,93.8125,0.0178528,4,Relativo,0.1,10,150
