Muestra,Sigma,Beta,Lambda,Iteraciones,CritParada,CotaError,BitsMantisa,Tiempo
data/X5.txt,2.01433,2.52346,2.98095,17,Absoluto,0.001,51,170
data/X5.txt,2.01952,2.52875,2.96941,14,Absoluto,0.01,51,130
data/X5.txt,1.94101,2.4502,3.14841,10,Absoluto,0.1,51,90
data/X5.txt,2.01508,2.52422,2.9793,16,Relativo,0.001,51,160
data/X5.txt,2.01359,2.52271,2.98261,12,Relativo,0.01,51,110
data/X5.txt,1.83995,2.35352,3.39311,9,Relativo,0.1,51,70
data/X5.txt,2.09229,2.59899,2.80171,17,Absoluto,0.001,20,1700
data/X5.txt,2.09445,2.60126,2.79716,14,Absoluto,0.01,20,1400
data/X5.txt,2.13389,2.64355,2.71506,10,Absoluto,0.1,20,920
data/X5.txt,2.09296,2.59975,2.80039,16,Relativo,0.001,20,1540
data/X5.txt,2.11146,2.61938,2.76153,12,Relativo,0.01,20,1130
data/X5.txt,2.22047,2.74023,2.54196,9,Relativo,0.1,20,840
data/X5.txt,3.60352,4.98047,0.566406,17,Absoluto,0.001,13,1970
data/X5.txt,3.60254,4.98145,0.567444,14,Absoluto,0.01,13,1620
data/X5.txt,3.604,4.96387,0.565979,10,Absoluto,0.1,13,1160
data/X5.txt,3.604,4.97852,0.565857,15,Relativo,0.001,13,1750
data/X5.txt,3.59961,5.01221,0.569824,11,Relativo,0.01,13,1230
data/X5.txt,3.64795,5.25391,0.534851,8,Relativo,0.1,13,870
