Muestra,Sigma,Beta,Lambda,Iteraciones,CritParada,CotaError,BitsMantisa,Tiempo
data/X7.txt,0.508847,3.14533,0.967074,5,Absoluto,0.001,51,40
data/X7.txt,0.508847,3.14533,0.967073,4,Absoluto,0.01,51,30
data/X7.txt,0.5091,3.14775,0.965856,3,Absoluto,0.1,51,10
data/X7.txt,0.508847,3.14533,0.967073,4,Relativo,0.001,51,30
data/X7.txt,0.508847,3.14533,0.967073,4,Relativo,0.01,51,20
data/X7.txt,0.5091,3.14775,0.965856,3,Relativo,0.1,51,20
data/X7.txt,0.507251,3.13215,0.974669,5,Absoluto,0.001,20,350
data/X7.txt,0.507287,3.13245,0.974504,4,Absoluto,0.01,20,250
data/X7.txt,0.507533,3.13476,0.973324,3,Absoluto,0.1,20,200
data/X7.txt,0.507287,3.13245,0.974504,4,Relativo,0.001,20,310
data/X7.txt,0.507287,3.13245,0.974504,4,Relativo,0.01,20,280
data/X7.txt,0.507533,3.13476,0.973324,3,Relativo,0.1,20,220
data/X7.txt,0.430725,2.58093,1.38431,20,Absoluto,0.001,15,1510
data/X7.txt,0.432083,2.59283,1.37643,6,Absoluto,0.01,15,430
data/X7.txt,0.433472,2.60132,1.36823,4,Absoluto,0.1,15,290
data/X7.txt,0.430725,2.58093,1.38431,20,Relativo,0.001,15,1430
data/X7.txt,0.431366,2.58643,1.38052,5,Relativo,0.01,15,350
data/X7.txt,0.439766,2.64294,1.33115,3,Relativo,0.1,15,210
