Muestra,Sigma,Beta,Lambda,Iteraciones,CritParada,CotaError,BitsMantisa,Tiempo
data/X1.txt,2.43129,3.82185,2.15743,5,Absoluto,0.001,51,180
data/X1.txt,2.43129,3.82185,2.15743,4,Absoluto,0.01,51,140
data/X1.txt,2.43191,3.82319,2.15607,3,Absoluto,0.1,51,110
data/X1.txt,2.43129,3.82185,2.15743,4,Relativo,0.001,51,140
data/X1.txt,2.43129,3.82185,2.15743,4,Relativo,0.01,51,140
data/X1.txt,2.45468,3.87293,2.10645,2,Relativo,0.1,51,70
data/X1.txt,2.52087,4.00498,1.95381,4,Absoluto,0.001,20,1240
data/X1.txt,2.52087,4.00498,1.95381,4,Absoluto,0.01,20,1240
data/X1.txt,2.52074,4.00449,1.95397,3,Absoluto,0.1,20,930
data/X1.txt,2.52087,4.00498,1.95381,4,Relativo,0.001,20,1230
data/X1.txt,2.52074,4.00449,1.95397,3,Relativo,0.01,20,920
data/X1.txt,2.52579,4.01648,1.9436,2,Relativo,0.1,20,620
data/X1.txt,nan,-nan,nan,3,Absoluto,0.001,13,1120
data/X1.txt,nan,-nan,nan,3,Absoluto,0.01,13,1140
data/X1.txt,nan,-nan,nan,3,Absoluto,0.1,13,1170
data/X1.txt,nan,-nan,nan,3,Relativo,0.001,13,1120
data/X1.txt,nan,-nan,nan,3,Relativo,0.01,13,1120
data/X1.txt,nan,-nan,nan,3,Relativo,0.1,13,1120
