Muestra,Sigma,Beta,Lambda,Iteraciones,CritParada,CotaError,BitsMantisa,Tiempo
data/X4.txt,2.24167,3.01486,1.85459,5,Absoluto,0.001,51,30
data/X4.txt,2.24167,3.01486,1.85459,5,Absoluto,0.01,51,30
data/X4.txt,2.24187,3.01517,1.85425,4,Absoluto,0.1,51,20
data/X4.txt,2.24167,3.01486,1.85459,5,Relativo,0.001,51,40
data/X4.txt,2.24187,3.01517,1.85425,4,Relativo,0.01,51,20
data/X4.txt,2.25577,3.03664,1.83104,3,Relativo,0.1,51,20
data/X4.txt,2.24912,3.02474,1.84062,6,Absoluto,0.001,20,370
data/X4.txt,2.24862,3.02398,1.84149,5,Absoluto,0.01,20,300
data/X4.txt,2.24965,3.0256,1.83975,4,Absoluto,0.1,20,250
data/X4.txt,2.24862,3.02398,1.84149,5,Relativo,0.001,20,310
data/X4.txt,2.24965,3.0256,1.83975,4,Relativo,0.01,20,250
data/X4.txt,2.2631,3.04645,1.8174,3,Relativo,0.1,20,190
data/X4.txt,2.74561,3.78394,1.03931,20,Absoluto,0.001,13,1490
data/X4.txt,2.75781,3.8103,1.0238,4,Absoluto,0.01,13,300
data/X4.txt,2.75928,3.81201,1.02234,3,Absoluto,0.1,13,220
data/X4.txt,2.75781,3.8103,1.0238,4,Relativo,0.001,13,290
data/X4.txt,2.75928,3.81201,1.02234,3,Relativo,0.01,13,230
data/X4.txt,2.74902,3.79126,1.03528,2,Relativo,0.1,13,150
