Muestra,Sigma,Beta,Lambda,Iteraciones,CritParada,CotaError,BitsMantisa,Tiempo
data/X2.txt,1.00707,4.12956,0.488519,4,Absoluto,0.001,51,70
data/X2.txt,1.00707,4.12956,0.488518,3,Absoluto,0.01,51,50
data/X2.txt,1.00707,4.12956,0.488518,3,Absoluto,0.1,51,50
data/X2.txt,1.00707,4.12956,0.488519,4,Relativo,0.001,51,70
data/X2.txt,1.00707,4.12956,0.488518,3,Relativo,0.01,51,60
data/X2.txt,1.00743,4.13372,0.487801,2,Relativo,0.1,51,30
data/X2.txt,1.0052,4.11313,0.491796,4,Absoluto,0.001,20,620
data/X2.txt,1.00519,4.11304,0.491812,3,Absoluto,0.01,20,460
data/X2.txt,1.00519,4.11304,0.491812,3,Absoluto,0.1,20,470
data/X2.txt,1.00519,4.11304,0.491812,3,Relativo,0.001,20,460
data/X2.txt,1.00519,4.11304,0.491812,3,Relativo,0.01,20,500
data/X2.txt,1.00554,4.11694,0.491132,2,Relativo,0.1,20,330
data/X2.txt,nan,-nan,nan,9,Absoluto,0.001,13,1760
data/X2.txt,nan,-nan,nan,9,Absoluto,0.01,13,1790
data/X2.txt,nan,-nan,nan,9,Absoluto,0.1,13,1800
data/X2.txt,nan,-nan,nan,9,Relativo,0.001,13,1700
data/X2.txt,nan,-nan,nan,9,Relativo,0.01,13,1680
data/X2.txt,nan,-nan,nan,9,Relativo,0.1,13,1710
