Muestra,Sigma,Beta,Lambda,Iteraciones,CritParada,CotaError,BitsMantisa,Tiempo
data/X4.txt,2.24138,3.01441,1.85508,17,Absoluto,0.001,51,80
data/X4.txt,2.2399,3.01215,1.85756,14,Absoluto,0.01,51,50
data/X4.txt,2.25166,3.03027,1.83788,10,Absoluto,0.1,51,40
data/X4.txt,2.24089,3.01366,1.85591,16,Relativo,0.001,51,60
data/X4.txt,2.23596,3.0061,1.8642,12,Relativo,0.01,51,40
data/X4.txt,2.3124,3.12695,1.73837,9,Relativo,0.1,51,40
data/X4.txt,2.24927,3.02499,1.8404,17,Absoluto,0.001,20,790
data/X4.txt,2.24885,3.02423,1.84101,14,Absoluto,0.01,20,570
data/X4.txt,2.25266,3.03027,1.83476,10,Absoluto,0.1,20,380
data/X4.txt,2.25072,3.02725,1.83798,15,Relativo,0.001,20,600
data/X4.txt,2.23697,3.0061,1.861,12,Relativo,0.01,20,460
data/X4.txt,2.31343,3.12695,1.73534,9,Relativo,0.1,20,330
data/X4.txt,4.70654,99.9922,0.0142174,20,Absoluto,0.001,13,1050
data/X4.txt,4.70654,99.9922,0.0142174,14,Absoluto,0.01,13,640
data/X4.txt,4.70654,99.8984,0.0142326,10,Absoluto,0.1,13,460
data/X4.txt,4.70654,99.8984,0.0142326,10,Relativo,0.001,13,450
data/X4.txt,4.70557,99.2266,0.0143318,7,Relativo,0.01,13,290
data/X4.txt,4.69434,93.8125,0.0151691,4,Relativo,0.1,13,150
