Muestra,Sigma,Beta,Lambda,Iteraciones,CritParada,CotaError,BitsMantisa,Tiempo
data/X2.txt,1.00704,4.12925,0.488572,17,Absoluto,0.001,51,160
data/X2.txt,1.00658,4.12396,0.489487,14,Absoluto,0.01,51,130
data/X2.txt,1.0123,4.19043,0.478203,10,Absoluto,0.1,51,90
data/X2.txt,1.00684,4.12698,0.488964,15,Relativo,0.001,51,140
data/X2.txt,1.00605,4.11792,0.490536,12,Relativo,0.01,51,110
data/X2.txt,1.03523,4.48047,0.433895,8,Relativo,0.1,51,70
data/X2.txt,1.00516,4.11263,0.491884,17,Absoluto,0.001,20,1630
data/X2.txt,1.00509,4.11188,0.492016,14,Absoluto,0.01,20,1350
data/X2.txt,1.01189,4.19043,0.478615,10,Absoluto,0.1,20,970
data/X2.txt,1.00536,4.1149,0.491488,15,Relativo,0.001,20,1440
data/X2.txt,1.00562,4.11792,0.490962,12,Relativo,0.01,20,1130
data/X2.txt,1.03484,4.48047,0.43426,8,Relativo,0.1,20,710
data/X2.txt,1.68628,99.998,0.00969195,17,Absoluto,0.001,15,1890
data/X2.txt,1.68631,99.9922,0.00969267,14,Absoluto,0.01,15,1520
data/X2.txt,1.68622,99.9023,0.00970125,10,Absoluto,0.1,15,1060
data/X2.txt,1.68622,99.9023,0.00970125,10,Relativo,0.001,15,1050
data/X2.txt,1.68564,99.2266,0.00976729,7,Relativo,0.01,15,700
data/X2.txt,1.68085,93.8125,0.0103314,4,Relativo,0.1,15,350
