Muestra,Sigma,Beta,Lambda,Iteraciones,CritParada,CotaError,BitsMantisa,Tiempo
data/X1.txt,2.43164,3.82259,2.15667,17,Absoluto,0.001,51,320
data/X1.txt,2.43129,3.82184,2.15744,14,Absoluto,0.01,51,270
data/X1.txt,2.42285,3.80371,2.17601,10,Absoluto,0.1,51,170
data/X1.txt,2.43269,3.82486,2.15437,15,Relativo,0.001,51,280
data/X1.txt,2.43408,3.82788,2.15131,12,Relativo,0.01,51,220
data/X1.txt,2.46703,3.90039,2.07983,9,Relativo,0.1,51,150
data/X1.txt,2.52229,4.0084,1.9509,17,Absoluto,0.001,20,3260
data/X1.txt,2.52022,4.00311,1.95494,14,Absoluto,0.01,20,2630
data/X1.txt,2.51761,3.99707,1.96043,10,Absoluto,0.1,20,1830
data/X1.txt,2.52144,4.00613,1.95252,15,Relativo,0.001,20,2830
data/X1.txt,2.52774,4.02124,1.93964,12,Relativo,0.01,20,2230
data/X1.txt,2.47543,3.90039,2.04873,9,Relativo,0.1,20,1630
data/X1.txt,3.19275,6.02039,0.741531,17,Absoluto,0.001,15,3700
data/X1.txt,3.19226,6.02124,0.74234,14,Absoluto,0.01,15,3050
data/X1.txt,3.19165,5.93066,0.738953,10,Absoluto,0.1,15,2090
data/X1.txt,3.19226,6.02124,0.74234,14,Relativo,0.001,15,3010
data/X1.txt,3.1925,5.979,0.740005,11,Relativo,0.01,15,2300
data/X1.txt,3.19269,6.02734,0.741989,8,Relativo,0.1,15,1610
