Muestra,Sigma,Beta,Lambda,Iteraciones,CritParada,CotaError,BitsMantisa,Tiempo
data/X6.txt,3.10579,5.37098,1.76455,17,Absoluto,0.001,51,170
data/X6.txt,3.10516,5.36871,1.76586,14,Absoluto,0.01,51,130
data/X6.txt,3.10007,5.35059,1.77645,10,Absoluto,0.1,51,90
data/X6.txt,3.106,5.37173,1.76411,15,Relativo,0.001,51,140
data/X6.txt,3.11355,5.39893,1.74844,11,Relativo,0.01,51,100
data/X6.txt,3.07235,5.25391,1.8347,8,Relativo,0.1,51,60
data/X6.txt,3.15323,5.52808,1.66121,17,Absoluto,0.001,20,1650
data/X6.txt,3.15267,5.52582,1.6623,14,Absoluto,0.01,20,1330
data/X6.txt,3.15732,5.54395,1.65301,10,Absoluto,0.1,20,920
data/X6.txt,3.15332,5.52884,1.66114,15,Relativo,0.001,20,1440
data/X6.txt,3.14471,5.49561,1.6784,11,Relativo,0.01,20,1040
data/X6.txt,3.07804,5.25391,1.81539,8,Relativo,0.1,20,750
data/X6.txt,3.66577,8.02026,0.717789,17,Absoluto,0.001,15,1940
data/X6.txt,3.66644,8.01514,0.716476,14,Absoluto,0.01,15,1530
data/X6.txt,3.66595,8.05762,0.718628,10,Absoluto,0.1,15,1090
data/X6.txt,3.66644,8.01514,0.716476,14,Relativo,0.001,15,1610
data/X6.txt,3.66669,8.00928,0.716003,11,Relativo,0.01,15,1170
data/X6.txt,3.6637,7.96094,0.719345,7,Relativo,0.1,15,700
