Muestra,Sigma,Beta,Lambda,Iteraciones,CritParada,CotaError,BitsMantisa,Tiempo
data/X3.txt,3.49011,1.37701,1.16811,5,Absoluto,0.001,51,70
data/X3.txt,3.49044,1.37709,1.16799,4,Absoluto,0.01,51,60
data/X3.txt,3.52462,1.38552,1.15606,3,Absoluto,0.1,51,40
data/X3.txt,3.49011,1.37701,1.16811,5,Relativo,0.001,51,70
data/X3.txt,3.49044,1.37709,1.16799,4,Relativo,0.01,51,50
data/X3.txt,3.52462,1.38552,1.15606,3,Relativo,0.1,51,40
data/X3.txt,3.48071,1.37455,1.17053,5,Absoluto,0.001,20,630
data/X3.txt,3.48074,1.37456,1.17052,4,Absoluto,0.01,20,500
data/X3.txt,3.51392,1.3827,1.15887,3,Absoluto,0.1,20,380
data/X3.txt,3.48071,1.37455,1.17053,5,Relativo,0.001,20,660
data/X3.txt,3.48074,1.37456,1.17052,4,Relativo,0.01,20,530
data/X3.txt,3.51392,1.3827,1.15887,3,Relativo,0.1,20,370
data/X3.txt,nan,-nan,nan,15,Absoluto,0.001,13,2270
data/X3.txt,nan,-nan,nan,15,Absoluto,0.01,13,2230
data/X3.txt,nan,-nan,nan,15,Absoluto,0.1,13,2250
data/X3.txt,nan,-nan,nan,15,Relativo,0.001,13,2260
data/X3.txt,nan,-nan,nan,15,Relativo,0.01,13,2240
data/X3.txt,nan,-nan,nan,15,Relativo,0.1,13,2230
